            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453380.500000000, A.D. 2005-Jan-10 00:00:00.0000, -4.978077429221196E+07,  1.384440921136457E+08, -1.201599631130695E+03, -2.852948380520426E+01, -1.019336537696214E+01,  4.315562089649561E-04,  4.907462729727401E+02,  1.471220314288367E+08,  6.123201384556923E-02,
2453381.500000000, A.D. 2005-Jan-11 00:00:00.0000, -5.223780735802172E+07,  1.375417606777409E+08, -1.176433854065835E+03, -2.834467192748442E+01, -1.069333368700605E+01,  1.492333790089617E-04,  4.907647770762422E+02,  1.471275788195087E+08,  6.717686005971228E-02,
2453382.500000000, A.D. 2005-Jan-12 00:00:00.0000, -5.467845814386050E+07,  1.365963939830827E+08, -1.175766555130482E+03, -2.815029847196349E+01, -1.118948698107122E+01, -1.315451156100877E-04,  4.907850019796354E+02,  1.471336420930097E+08,  7.320789863485948E-02,
2453383.500000000, A.D. 2005-Jan-13 00:00:00.0000, -5.710191047132347E+07,  1.356083374699105E+08, -1.198462898202240E+03, -2.794660499115983E+01, -1.168147155966387E+01, -3.881120023248030E-04,  4.908070005371246E+02,  1.471402370946319E+08,  7.951325531848151E-02,
2453384.500000000, A.D. 2005-Jan-14 00:00:00.0000, -5.950737138911405E+07,  1.345779636144991E+08, -1.241608706131577E+03, -2.773388052821370E+01, -1.216901747617500E+01, -6.024139922740090E-04,  4.908308731863415E+02,  1.471473939348196E+08,  8.623148483643260E-02,
2453385.500000000, A.D. 2005-Jan-15 00:00:00.0000, -6.189407347480086E+07,  1.335056644852279E+08, -1.301000931710005E+03, -2.751242078846640E+01, -1.265193943300047E+01, -7.627943589119113E-04,  4.908567515612271E+02,  1.471551520764356E+08,  9.344024670401860E-02,
2453386.500000000, A.D. 2005-Jan-16 00:00:00.0000, -6.426127401307721E+07,  1.323918450934084E+08, -1.371706875644624E+03, -2.728249837041687E+01, -1.313011931267075E+01, -8.638730994858790E-04,  4.908847814526997E+02,  1.471635552264977E+08,  1.011621566472932E-01,
2453387.500000000, A.D. 2005-Jan-17 00:00:00.0000, -6.660825229583606E+07,  1.312369186153465E+08, -1.448555582016706E+03, -2.704434907040939E+01, -1.360348229327327E+01, -9.052498373893769E-04,  4.909151090095762E+02,  1.471726471993188E+08,  1.093798954392624E-01,
2453388.500000000, A.D. 2005-Jan-18 00:00:00.0000, -6.893430633737609E+07,  1.300413035962698E+08, -1.526498409144580E+03, -2.679817110773445E+01, -1.407197597678551E+01, -8.898992253225657E-04,  4.909478716064976E+02,  1.471824691787803E+08,  1.180523582787066E-01,
2453389.500000000, A.D. 2005-Jan-19 00:00:00.0000, -7.123874986112444E+07,  1.288054226666494E+08, -1.600839454904199E+03, -2.654413117302236E+01, -1.453555649007009E+01, -8.228239175229746E-04,  4.909831928972074E+02,  1.471930582353419E+08,  1.271270877779387E-01,
2453390.500000000, A.D. 2005-Jan-20 00:00:00.0000, -7.352090991101941E+07,  1.275297021564758E+08, -1.667368924595416E+03, -2.628237216230038E+01, -1.499418134543940E+01, -7.101634909041366E-04,  4.910211807352590E+02,  1.472044467026855E+08,  1.365477508502215E-01,
2453391.500000000, A.D. 2005-Jan-21 00:00:00.0000, -7.578012509056109E+07,  1.262145721052272E+08, -1.722438405573368E+03, -2.601301965941349E+01, -1.544780703306634E+01, -5.587235274866487E-04,  4.910619266151094E+02,  1.472166620101593E+08,  1.462574262950864E-01,
2453392.500000000, A.D. 2005-Jan-22 00:00:00.0000, -7.801574426397888E+07,  1.248604663568226E+08, -1.763009068824351E+03, -2.573618608567231E+01, -1.589638912130968E+01, -3.757959239134578E-04,  4.911055056259984E+02,  1.472297266689509E+08,  1.561991188639226E-01,
2453393.500000000, A.D. 2005-Jan-23 00:00:00.0000, -8.022712551414572E+07,  1.234678226024774E+08, -1.786691883653402E+03, -2.545197256011322E+01, -1.633988312416555E+01, -1.691322796713024E-04,  4.911519763194713E+02,  1.472436582323721E+08,  1.663148473712179E-01,
2453394.500000000, A.D. 2005-Jan-24 00:00:00.0000, -8.241363518248424E+07,  1.220370823579838E+08, -1.791787979535758E+03, -2.516046905899364E+01, -1.677824501453863E+01,  5.304189677524107E-05,  4.912013802370039E+02,  1.472584691542440E+08,  1.765443403063692E-01,
2453395.500000000, A.D. 2005-Jan-25 00:00:00.0000, -8.457464687701790E+07,  1.205686909339076E+08, -1.777329128429294E+03, -2.486175365137067E+01, -1.721143082318640E+01,  2.820480747764975E-04,  4.912537410910460E+02,  1.472741665433803E+08,  1.868240201352385E-01,
2453396.500000000, A.D. 2005-Jan-26 00:00:00.0000, -8.670954040176055E+07,  1.190630974849319E+08, -1.743113402783871E+03, -2.455589155462347E+01, -1.763939522350114E+01,  5.088487758753146E-04,  4.913090637404215E+02,  1.472907518564196E+08,  1.970866231115019E-01,
2453397.500000000, A.D. 2005-Jan-27 00:00:00.0000, -8.881770061748993E+07,  1.175207552175796E+08, -1.689729314006865E+03, -2.424293455908741E+01, -1.806208934053005E+01,  7.242181698705608E-04,  4.913673331561882E+02,  1.473082205877986E+08,  2.072614977384115E-01,
2453398.500000000, A.D. 2005-Jan-28 00:00:00.0000, -9.089851627877825E+07,  1.159421218061177E+08, -1.618562661603093E+03, -2.392292106605544E+01, -1.847945819518662E+01,  9.189664536153330E-04,  4.914285135497819E+02,  1.473265620083754E+08,  2.172753850874330E-01,
2453399.500000000, A.D. 2005-Jan-29 00:00:00.0000, -9.295137889874254E+07,  1.143276600309094E+08, -1.531782875530422E+03, -2.359587665233016E+01, -1.889143815871882E+01,  1.084184805016264E-03,  4.914925477575985E+02,  1.473457589809328E+08,  2.270533636287034E-01,
2453400.500000000, A.D. 2005-Jan-30 00:00:00.0000, -9.497568167407261E+07,  1.126778386302676E+08, -1.432308228015900E+03, -2.326181483678165E+01, -1.929795454863128E+01,  1.211487612067685E-03,  4.915593568875563E+02,  1.473657878542197E+08,  2.365196925743463E-01,
2453401.500000000, A.D. 2005-Jan-31 00:00:00.0000, -9.697081847192608E+07,  1.109931333614554E+08, -1.323750153191388E+03, -2.292073770086882E+01, -1.969891911492409E+01,  1.293258147686771E-03,  4.916288401869007E+02,  1.473866184233201E+08,  2.455985292937038E-01,
2453402.500000000, A.D. 2005-Feb-01 00:00:00.0000, -9.893618285974251E+07,  1.092740283054433E+08, -1.210334633328021E+03, -2.257263628943124E+01, -2.009422677922192E+01,  1.322945318920077E-03,  4.917008751382596E+02,  1.474082139584499E+08,  2.542148982165328E-01,
2453403.500000000, A.D. 2005-Feb-02 00:00:00.0000, -1.008711671761698E+08,  1.075210175160371E+08, -1.096792714588344E+03, -2.221749131398255E+01, -2.048375078472569E+01,  1.295498432556386E-03,  4.917753179686414E+02,  1.474305313575506E+08,  2.622967703652010E-01,
2453404.500000000, A.D. 2005-Feb-03 00:00:00.0000, -1.027751617219837E+08,  1.057346071814207E+08, -9.882037693113089E+02, -2.185527553470748E+01, -2.086733563161120E+01,  1.208042167417211E-03,  4.918520050669828E+02,  1.474535215712592E+08,  2.697795210932613E-01,
2453405.500000000, A.D. 2005-Feb-04 00:00:00.0000, -1.046475543078943E+08,  1.039153184862338E+08, -8.897675365805626E+02, -2.148596007078130E+01, -2.124478810189615E+01,  1.060852359294095E-03,  4.919307561913574E+02,  1.474771305644057E+08,  2.766140789640449E-01,
2453406.500000000, A.D. 2005-Feb-05 00:00:00.0000, -1.064877306111471E+08,  1.020636912625135E+08, -8.064808808863163E+02, -2.110952720060126E+01, -2.161586853558936E+01,  8.585551819519921E-04,  4.920113806379389E+02,  1.475013011654213E+08,  2.827792857206744E-01,
2453407.500000000, A.D. 2005-Feb-06 00:00:00.0000, -1.082950759756236E+08,  1.001802882244030E+08, -7.427119735628366E+02, -2.072599096702552E+01, -2.198028701987601E+01,  6.112230488906079E-04,  4.920936874233403E+02,  1.475259761189269E+08,  2.882968694922227E-01,
2453408.500000000, A.D. 2005-Feb-07 00:00:00.0000, -1.100689792620986E+08,  9.826569909100038E+07, -7.017053006142378E+02, -2.033542318975818E+01, -2.233771085515676E+01,  3.347619121818468E-04,  4.921774996153299E+02,  1.475511023819738E+08,  2.932441652517738E-01,
2453409.500000000, A.D. 2005-Feb-08 00:00:00.0000, -1.118088389139049E+08,  9.632054339118458E+07, -6.851089316681027E+02, -1.993797697387210E+01, -2.268778796027581E+01,  4.991245756613694E-05,  4.922626711153426E+02,  1.475766361553141E+08,  2.977570987769938E-01,
2453410.500000000, A.D. 2005-Feb-09 00:00:00.0000, -1.135140705294834E+08,  9.434547060100476E+07, -6.926602853983641E+02, -1.953389615651020E+01, -2.303018406707166E+01, -2.204006014974169E-04,  4.923491020926858E+02,  1.476025475104592E+08,  3.020172286631514E-01,
2453411.500000000, A.D. 2005-Feb-10 00:00:00.0000, -1.151841143114537E+08,  9.234115685213380E+07, -7.221541714221239E+02, -1.912350233071454E+01, -2.336462239213117E+01, -4.547748695866716E-04,  4.924367483543430E+02,  1.476288231986759E+08,  3.062235188401580E-01,
2453412.500000000, A.D. 2005-Feb-11 00:00:00.0000, -1.168184404599736E+08,  9.030829867028216E+07, -7.697297242879868E+02, -1.870716165086713E+01, -2.369091032151603E+01, -6.367582305699671E-04,  4.925256214454238E+02,  1.476554666811011E+08,  3.105583959837465E-01,
2453413.500000000, A.D. 2005-Feb-12 00:00:00.0000, -1.184165512672447E+08,  8.824760535481736E+07, -8.303934381976724E+02, -1.828524434181494E+01, -2.400894353118392E+01, -7.567316665557655E-04,  4.926157797504106E+02,  1.476824954609622E+08,  3.151612572208905E-01,
2453414.500000000, A.D. 2005-Feb-13 00:00:00.0000, -1.199779799602155E+08,  8.615979193608889E+07, -8.986200102232397E+02, -1.785809206127913E+01, -2.431868980302931E+01, -8.118514790727005E-04,  4.927073141273548E+02,  1.477099367768178E+08,  3.201176551143619E-01,
2453415.500000000, A.D. 2005-Feb-14 00:00:00.0000, -1.215022873936706E+08,  8.404557403513777E+07, -9.688818532042205E+02, -1.742600132520511E+01, -2.462016321957414E+01, -8.046003180659511E-04,  4.928003327015834E+02,  1.477378230438254E+08,  3.254635156967283E-01,
2453416.500000000, A.D. 2005-Feb-15 00:00:00.0000, -1.229890579973269E+08,  8.190566495815967E+07, -1.036026755690575E+03, -1.698922206349884E+01, -2.491339973542721E+01, -7.408704921232356E-04,  4.928949482856120E+02,  1.477661880823265E+08,  3.311978701028372E-01,
2453417.500000000, A.D. 2005-Feb-16 00:00:00.0000, -1.244378960405507E+08,  7.974077460362285E+07, -1.095497046001256E+03, -1.654796527373891E+01, -2.519844016783894E+01, -6.282974770694949E-04,  4.929912698277946E+02,  1.477950645542158E+08,  3.372970908622942E-01,
2453418.500000000, A.D. 2005-Feb-17 00:00:00.0000, -1.258484227196572E+08,  7.755160947362947E+07, -1.143428043652326E+03, -1.610241351892190E+01, -2.547532147124402E+01, -4.751520668762055E-04,  4.930893976214996E+02,  1.478244825266887E+08,  3.437262966034756E-01,
2453419.500000000, A.D. 2005-Feb-18 00:00:00.0000, -1.272202741197717E+08,  7.533887314810303E+07, -1.176675457768142E+03, -1.565273020859683E+01, -2.574407431190086E+01, -2.897859361059574E-04,  4.931894211934932E+02,  1.478544688391946E+08,  3.504464877434366E-01,
2453420.500000000, A.D. 2005-Feb-19 00:00:00.0000, -1.285530998562527E+08,  7.310326679281355E+07, -1.192813660845160E+03, -1.519906590876667E+01, -2.600472428412568E+01, -8.048279720718199E-05,  4.932914186618942E+02,  1.478850469109563E+08,  3.574177476055252E-01,
2453421.500000000, A.D. 2005-Feb-20 00:00:00.0000, -1.298465621204972E+08,  7.084548948825018E+07, -1.190132365863770E+03, -1.474156143189841E+01, -2.625729452270452E+01,  1.444569914674787E-04,  4.933954565687062E+02,  1.479162366907647E+08,  3.645995203541738E-01,
2453422.500000000, A.D. 2005-Feb-21 00:00:00.0000, -1.311003348700654E+08,  6.856623833154646E+07, -1.167645283021033E+03, -1.428034820499839E+01, -2.650180813343209E+01,  3.765452931041580E-04,  4.935015895028573E+02,  1.479480545439686E+08,  3.719490517976361E-01,
2453423.500000000, A.D. 2005-Feb-22 00:00:00.0000, -1.323141029614984E+08,  6.626620837407961E+07, -1.125113141063601E+03, -1.381554672304259E+01, -2.673828943988654E+01,  6.069607477225958E-04,  4.936098591262323E+02,  1.479805129604869E+08,  3.794189531169399E-01,
2453424.500000000, A.D. 2005-Feb-23 00:00:00.0000, -1.334875611000635E+08,  6.394609252377310E+07, -1.063075167004019E+03, -1.334726401816523E+01, -2.696676349548598E+01,  8.265092471795299E-04,  4.937202924709561E+02,  1.480136200443468E+08,  3.869547052403370E-01,
2453425.500000000, A.D. 2005-Feb-24 00:00:00.0000, -1.346204125631270E+08,  6.160658157146012E+07, -9.828775234594941E+02, -1.287559110925981E+01, -2.718725370643163E+01,  1.025739284852278E-03,  4.938328995926292E+02,  1.480473788101415E+08,  3.944927861245383E-01,
2453426.500000000, A.D. 2005-Feb-25 00:00:00.0000, -1.357123677350653E+08,  5.924836449719238E+07, -8.866844433471560E+02, -1.240060132502839E+01, -2.739977779869658E+01,  1.195226403186922E-03,  4.939476708370152E+02,  1.480817863636037E+08,  4.019599263409303E-01,
2453427.500000000, A.D. 2005-Feb-26 00:00:00.0000, -1.367631425602201E+08,  5.687212917680588E+07, -7.774581716433167E+02, -1.192235016720960E+01, -2.760434270392218E+01,  1.326004139093229E-03,  4.940645740882692E+02,  1.481168330766453E+08,  4.092737414280708E-01,
2453428.500000000, A.D. 2005-Feb-27 00:00:00.0000, -1.377724570626147E+08,  5.447856354967730E+07, -6.588971614912152E+02, -1.144087700548749E+01, -2.780093912865511E+01,  1.410089057573671E-03,  4.941835523941030E+02,  1.481525018753999E+08,  4.163446801513073E-01,
2453429.500000000, A.D. 2005-Feb-28 00:00:00.0000, -1.387400340881811E+08,  5.206835724320681E+07, -5.353271269053221E+02, -1.095620848398644E+01, -2.798953651051206E+01,  1.441037028593328E-03,  4.943045223060319E+02,  1.481887677426411E+08,  4.230789730422195E-01,
2453430.500000000, A.D. 2005-Mar-01 00:00:00.0000, -1.396655984019269E+08,  4.964220360061210E+07, -4.115444950051606E+02, -1.046836326213898E+01, -2.817007875863863E+01,  1.414483488650475E-03,  4.944273731667730E+02,  1.482255975041501E+08,  4.293822025569208E-01,
2453431.500000000, A.D. 2005-Mar-02 00:00:00.0000, -1.405488762400455E+08,  4.720080204137892E+07, -2.926144729815423E+02, -9.977357777954936E+00, -2.834248078790031E+01,  1.328654689435993E-03,  4.945519674911665E+02,  1.482629499429129E+08,  4.351633239540574E-01,
2453432.500000000, A.D. 2005-Mar-03 00:00:00.0000, -1.413895954055231E+08,  4.474486069358632E+07, -1.836256267037243E+02, -9.483213127515535E+00, -2.850662566749558E+01,  1.184867158771752E-03,  4.946781425950613E+02,  1.483007762874479E+08,  4.403393854346275E-01,
2453433.500000000, A.D. 2005-Mar-04 00:00:00.0000, -1.421874860275241E+08,  4.227509924458346E+07, -8.940121144428849E+01, -8.985963693709460E+00, -2.866236249146067E+01,  9.880282069438806E-04,  4.948057137611605E+02,  1.483390211609027E+08,  4.448416042365532E-01,
2453434.500000000, A.D. 2005-Mar-05 00:00:00.0000, -1.429422821740854E+08,  3.979225191347468E+07, -1.416867061145604E+01, -8.485668399666567E+00, -2.880950595051756E+01,  7.470864239778052E-04,  4.949344794396720E+02,  1.483776241401697E+08,  4.486234963679350E-01,
2453435.500000000, A.D. 2005-Mar-06 00:00:00.0000, -1.436537245650975E+08,  3.729707031228296E+07,  3.880187902413309E+01, -7.982424855427229E+00, -2.894783979797830E+01,  4.752579536297930E-04,  4.950642291016597E+02,  1.484165221102617E+08,  4.516710422433343E-01,
2453436.500000000, A.D. 2005-Mar-07 00:00:00.0000, -1.443215645851744E+08,  3.479032573219547E+07,  6.755832901224494E+01, -7.476384821700929E+00, -2.907712718642853E+01,  1.897221963478302E-04,  4.951947541407611E+02,  1.484556525325644E+08,  4.540132194322213E-01,
2453437.500000000, A.D. 2005-Mar-08 00:00:00.0000, -1.449455695438825E+08,  3.227281015501581E+07,  7.176567321643233E+01, -6.967766673911870E+00, -2.919712998945678E+01, -8.954627734247822E-05,  4.953258614309850E+02,  1.484949575093624E+08,  4.557291163727893E-01,
2453438.500000000, A.D. 2005-Mar-09 00:00:00.0000, -1.455255286569475E+08,  2.974533523545060E+07,  5.286105100065470E+01, -6.456858538417785E+00, -2.930763583346222E+01, -3.419318106132607E-04,  4.954573878464330E+02,  1.485343881367415E+08,  4.569467062467500E-01,
2453439.500000000, A.D. 2005-Mar-10 00:00:00.0000, -1.460612586952439E+08,  2.720872882373972E+07,  1.399033886380494E+01, -5.944006940489002E+00, -2.940848656569783E+01, -5.489790033337272E-04,  4.955892127901575E+02,  1.485739082606463E+08,  4.578300465207673E-01,
2453440.500000000, A.D. 2005-Mar-11 00:00:00.0000, -1.465526080093445E+08,  2.466382930923082E+07, -4.029719053581357E+01, -5.429591202601284E+00, -2.949959860763935E+01, -6.970324139636830E-04,  4.957212654877707E+02,  1.486134966634493E+08,  4.585565105071649E-01,
2453441.500000000, A.D. 2005-Mar-12 00:00:00.0000, -1.469994579664762E+08,  2.211147885076740E+07, -1.045418896023184E+02, -4.913990825028887E+00, -2.958096757306046E+01, -7.788136654358624E-04,  4.958535250704714E+02,  1.486531470888412E+08,  4.592909754889706E-01,
2453442.500000000, A.D. 2005-Mar-13 00:00:00.0000, -1.474017216545154E+08,  1.955251694469339E+07, -1.729382384885103E+02, -4.397556593192473E+00, -2.965265637900236E+01, -7.934809581318092E-04,  4.959860138410239E+02,  1.486928662230225E+08,  4.601656318785165E-01,
2453443.500000000, A.D. 2005-Mar-14 00:00:00.0000, -1.477593405630994E+08,  1.698777552332562E+07, -2.398451430834830E+02, -3.880593499993732E+00, -2.971477315067762E+01, -7.454045127950337E-04,  4.961187862458563E+02,  1.487326703886218E+08,  4.612708192611015E-01,
2453444.500000000, A.D. 2005-Mar-15 00:00:00.0000, -1.480722803845307E+08,  1.441807607878162E+07, -3.001590341599658E+02, -3.363357192163116E+00, -2.976744784548474E+01, -6.423426945989519E-04,  4.962519168408294E+02,  1.487725819369238E+08,  4.626567663249233E-01,
2453445.500000000, A.D. 2005-Mar-16 00:00:00.0000, -1.483405269711698E+08,  1.184422860795025E+07, -3.495291197858751E+02, -2.846060265952187E+00, -2.981081422991632E+01, -4.937073423416649E-04,  4.963854898666746E+02,  1.488126261226645E+08,  4.643421925125941E-01,
2453446.500000000, A.D. 2005-Mar-17 00:00:00.0000, -1.485640830622301E+08,  9.267031783003790E+06, -3.844422826664522E+02, -2.328882887469992E+00, -2.984499960118146E+01, -3.093190957024206E-04,  4.965195917044606E+02,  1.488528288422366E+08,  4.663249702892676E-01,
2453447.500000000, A.D. 2005-Mar-18 00:00:00.0000, -1.487429659460492E+08,  6.687273700566702E+06, -4.022256369786337E+02, -1.811983242388574E+00, -2.987012134694015E+01, -9.874018320310540E-05,  4.966543062674118E+02,  1.488932152521922E+08,  4.685914312672166E-01,
2453448.500000000, A.D. 2005-Mar-19 00:00:00.0000, -1.488772059216464E+08,  4.105732714833521E+06, -4.010130090974271E+02, -1.295505336074020E+00, -2.988628802416178E+01,  1.289192896010150E-04,  4.967897126709922E+02,  1.489338090707505E+08,  4.711227397703554E-01,
2453449.500000000, A.D. 2005-Mar-20 00:00:00.0000, -1.489668452865664E+08,  1.523178068697297E+06, -3.797091063610278E+02, -7.795833446070648E-01, -2.989360259925470E+01,  3.648898779005094E-04,  4.969258842758710E+02,  1.489746322908869E+08,  4.738980750368599E-01,
2453450.500000000, A.D. 2005-Mar-21 00:00:00.0000, -1.490119375558613E+08, -1.059629779770483E+06, -3.379705923111760E+02, -2.643426923088723E-01, -2.989216599936433E+01,  6.004876149763305E-04,  4.970628882306576E+02,  1.490157050432481E+08,  4.768950078844046E-01,
2453451.500000000, A.D. 2005-Mar-22 00:00:00.0000, -1.490125466544330E+08, -3.641939101903714E+06, -2.762104970104992E+02,  2.501015156593333E-01, -2.988207965143134E+01,  8.268491451595139E-04,  4.972007847903091E+02,  1.490570453918158E+08,  4.800876747672541E-01,
2453452.500000000, A.D. 2005-Mar-23 00:00:00.0000, -1.489687458899274E+08, -6.223006983756389E+06, -1.956218898287043E+02,  7.636478458653592E-01, -2.986344607031038E+01,  1.034767520241786E-03,  4.973396258712803E+02,  1.490986689007515E+08,  4.834434263127090E-01,
2453453.500000000, A.D. 2005-Mar-24 00:00:00.0000, -1.488806165965891E+08, -8.802099354150776E+06, -9.820801077969372E+01,  1.276212602302936E+00, -2.983636686803529E+01,  1.214720599820751E-03,  4.974794525131920E+02,  1.491405878734241E+08,  4.869187343050932E-01,
2453454.500000000, A.D. 2005-Mar-25 00:00:00.0000, -1.487482464432924E+08, -1.137849071888317E+07,  1.320092905126512E+01,  1.787733299258068E+00, -2.980093794425699E+01,  1.357159587605850E-03,  4.976202911670078E+02,  1.491828102396329E+08,  4.904553168036500E-01,
2453455.500000000, A.D. 2005-Mar-26 00:00:00.0000, -1.485717275192044E+08, -1.395146336720397E+07,  1.349681786838919E+02,  2.298170096044883E+00, -2.975724219455086E+01,  1.453081249534804E-03,  4.977621490306111E+02,  1.492253381572492E+08,  4.939775924807793E-01,
2453456.500000000, A.D. 2005-Mar-27 00:00:00.0000, -1.483511544313242E+08, -1.652030587680415E+07,  2.627312591420487E+02,  2.807503910035941E+00, -2.970534080339320E+01,  1.494839422003125E-03,  4.979050089729432E+02,  1.492681664905107E+08,  4.973925268917889E-01,
2453457.500000000, A.D. 2005-Mar-28 00:00:00.0000, -1.480866227358725E+08, -1.908431086556752E+07,  3.915590938245878E+02,  3.315730539159837E+00, -2.964526483776908E+01,  1.477074023744862E-03,  4.980488248460198E+02,  1.493112814045997E+08,  5.005925358413564E-01,
2453458.500000000, A.D. 2005-Mar-29 00:00:00.0000, -1.477782280422985E+08, -2.164277210035656E+07,  5.161882247375324E+02,  3.822851112614980E+00, -2.957700907726303E+01,  1.397581444015472E-03,  4.981935180772490E+02,  1.493546593440459E+08,  5.034613880094025E-01,
2453459.500000000, A.D. 2005-Mar-30 00:00:00.0000, -1.474260660567105E+08, -2.419498122646777E+07,  6.313252408951521E+02,  4.328860174679846E+00, -2.950052958505945E+01,  1.257951252023659E-03,  4.983389763021553E+02,  1.493982666228269E+08,  5.058822697303281E-01,
